model,accuracy,n,correct,invalid,max_new_tokens,precision,chat_template,confidence,output_file
Qwen3.5-0.8B,0.4252,6112,2599,0,64,torch.float32,true,High,Outputs/Qwen3.5-0.8B-fp32/Qwen3.5-0.8B-fp32.jsonl
Qwen2.5-0.5B-Instruct,0.3379,6112,2065,317,64,torch.float32,true,Medium-high,Outputs/Qwen2.5-0.5B-Instruct/Qwen2.5-0.5B-Instruct.jsonl
Qwen3-0.6B,0.2860,6112,1748,1405,64,torch.float32,true,High,Outputs/Qwen3-0.6B/Qwen3-0.6B.jsonl
Granite 4.0 350M,0.2274,6112,1390,103,64,torch.float32,true,High,Outputs/granite-4.0-350m/granite-4.0-350m.jsonl
Gemma 3 270M IT,0.2019,6112,1234,318,64,torch.float32,true,Medium,Outputs/gemma-3-270m-it-ct/gemma-3-270m-it-ct.jsonl
SmolLM2-360M-Instruct,0.1832,6112,1120,879,64,torch.float32,true,Medium,Outputs/SmolLM2-360M-Instruct/SmolLM2-360M-Instruct.jsonl
OLMo-2-0425-1B-Instruct,0.1648,6112,1007,1465,64,torch.float32,true,Medium,Outputs/OLMo-2-0425-1B-Instruct/OLMo-2-0425-1B-Instruct.jsonl
Llama 3.2 1B Instruct,0.1461,6112,893,2202,64,torch.float32,true,Medium,Outputs/Llama-3.2-1B-Instruct/Llama-3.2-1B-Instruct.jsonl
MiniCPM4-0.5B,0.1299,6112,794,3367,64,torch.float32,true,Medium,Outputs/MiniCPM4-0.5B/MiniCPM4-0.5B.jsonl
LFM2-350M,0.1132,6112,692,3455,64,torch.float32,true,Medium-low,Outputs/LFM2-350M/LFM2-350M.jsonl
